iter	Passed	Remaining
0	35	52854
1	69	52069
2	97	48403
3	128	48211
4	161	48187
5	193	48154
6	225	48190
7	258	48276
8	291	48310
9	323	48149
10	355	48073
11	386	47974
12	418	47894
13	457	48572
14	490	48527
15	538	49949
16	577	50383
17	609	50198
18	642	50066
19	674	49929
20	706	49789
21	739	49681
22	778	49965
23	810	49856
24	842	49734
25	882	50044
26	915	49948
27	947	49821
28	980	49741
29	1012	49608
30	1045	49521
31	1077	49428
32	1109	49327
33	1147	49467
34	1180	49423
35	1208	49158
36	1246	49300
37	1279	49216
38	1311	49129
39	1343	49048
40	1376	48995
41	1409	48912
42	1439	48788
43	1472	48717
44	1504	48647
45	1538	48623
46	1570	48567
47	1609	48685
48	1647	48776
49	1679	48699
50	1710	48611
51	1749	48703
52	1781	48643
53	1815	48610
54	1848	48564
55	1880	48493
56	1917	48555
57	1950	48501
58	1984	48472
59	2016	48395
60	2048	48332
61	2086	48384
62	2126	48494
63	2157	48412
64	2192	48400
65	2224	48340
66	2263	48420
67	2297	48392
68	2330	48326
69	2362	48265
70	2395	48215
71	2427	48148
72	2471	48311
73	2504	48253
74	2536	48191
75	2575	48248
76	2607	48182
77	2639	48127
78	2673	48088
79	2705	48020
80	2738	47966
81	2771	47926
82	2804	47871
83	2838	47848
84	2871	47802
85	2904	47751
86	2939	47734
87	2972	47687
88	3005	47644
89	3035	47556
90	3067	47499
91	3099	47434
92	3129	47345
93	3161	47290
94	3194	47241
95	3226	47189
96	3258	47135
97	3291	47088
98	3324	47041
99	3356	46995
100	3389	46947
101	3422	46906
102	3461	46947
103	3493	46893
104	3526	46845
105	3558	46792
106	3590	46738
107	3622	46684
108	3655	46645
109	3687	46598
110	3727	46646
111	3759	46593
112	3792	46551
113	3825	46509
114	3861	46508
115	3893	46450
116	3926	46408
117	3961	46399
118	4000	46428
119	4035	46410
120	4068	46363
121	4100	46320
122	4133	46274
123	4171	46290
124	4204	46252
125	4239	46231
126	4272	46189
127	4305	46147
128	4338	46109
129	4370	46062
130	4402	46005
131	4434	45956
132	4468	45928
133	4501	45893
134	4536	45870
135	4568	45821
136	4602	45790
137	4635	45751
138	4669	45718
139	4702	45682
140	4734	45634
141	4767	45597
142	4801	45562
143	4836	45544
144	4870	45518
145	4903	45475
146	4943	45503
147	4981	45503
148	5015	45475
149	5048	45437
150	5087	45446
151	5118	45392
152	5150	45347
153	5189	45357
154	5221	45312
155	5254	45265
156	5286	45221
157	5318	45176
158	5351	45136
159	5383	45089
160	5415	45041
161	5447	44993
162	5479	44944
163	5515	44934
164	5549	44897
165	5586	44893
166	5620	44865
167	5652	44816
168	5684	44768
169	5716	44719
170	5748	44676
171	5780	44633
172	5813	44594
173	5845	44548
174	5878	44510
175	5911	44470
176	5943	44428
177	5976	44387
178	6008	44340
179	6039	44291
180	6073	44257
181	6105	44213
182	6138	44175
183	6175	44170
184	6211	44154
185	6244	44111
186	6277	44075
187	6310	44037
188	6343	43998
189	6375	43959
190	6408	43921
191	6440	43877
192	6472	43834
193	6504	43790
194	6537	43754
195	6572	43726
196	6604	43681
197	6637	43644
198	6668	43598
199	6700	43551
200	6732	43510
201	6765	43473
202	6798	43436
203	6831	43397
204	6862	43353
205	6896	43323
206	6928	43277
207	6962	43245
208	7006	43278
209	7040	43247
210	7072	43203
211	7104	43161
212	7135	43114
213	7166	43067
214	7199	43029
215	7230	42979
216	7263	42944
217	7294	42898
218	7325	42850
219	7357	42805
220	7389	42764
221	7421	42721
222	7453	42679
223	7484	42637
224	7523	42633
225	7555	42591
226	7587	42552
227	7619	42508
228	7651	42465
229	7684	42430
230	7720	42412
231	7754	42384
232	7786	42343
233	7822	42319
234	7854	42282
235	7890	42260
236	7922	42221
237	7955	42182
238	7987	42145
239	8021	42113
240	8059	42104
241	8104	42127
242	8136	42087
243	8169	42050
244	8200	42008
245	8233	41968
246	8265	41927
247	8296	41883
248	8328	41842
249	8360	41803
250	8397	41784
251	8431	41757
252	8466	41727
253	8498	41687
254	8531	41652
255	8562	41610
256	8595	41571
257	8626	41527
258	8659	41494
259	8692	41455
260	8725	41422
261	8758	41383
262	8791	41347
263	8829	41339
264	8865	41317
265	8904	41310
266	8937	41273
267	8969	41233
268	9002	41199
269	9035	41160
270	9067	41122
271	9101	41088
272	9132	41047
273	9164	41007
274	9202	40994
275	9247	41011
276	9281	40977
277	9313	40939
278	9346	40903
279	9380	40871
280	9411	40829
281	9445	40797
282	9478	40759
283	9510	40722
284	9545	40692
285	9584	40682
286	9620	40661
287	9652	40620
288	9684	40581
289	9716	40540
290	9749	40505
291	9781	40465
292	9814	40428
293	9847	40395
294	9879	40356
295	9915	40331
296	9948	40297
297	9980	40257
298	10013	40220
299	10046	40186
300	10079	40149
301	10111	40111
302	10144	40077
303	10178	40045
304	10211	40008
305	10244	39972
306	10278	39940
307	10322	39949
308	10356	39916
309	10388	39876
310	10422	39845
311	10454	39808
312	10488	39777
313	10522	39743
314	10566	39750
315	10600	39717
316	10632	39679
317	10665	39644
318	10697	39605
319	10730	39567
320	10762	39530
321	10796	39498
322	10830	39464
323	10870	39456
324	10916	39466
325	10952	39441
326	10986	39408
327	11018	39369
328	11051	39333
329	11082	39293
330	11115	39257
331	11148	39222
332	11189	39212
333	11226	39191
334	11258	39153
335	11295	39132
336	11331	39103
337	11364	39071
338	11397	39034
339	11429	38996
340	11464	38964
341	11502	38947
342	11537	38916
343	11570	38882
344	11616	38888
345	11651	38861
346	11689	38841
347	11725	38815
348	11758	38778
349	11793	38751
350	11826	38714
351	11859	38679
352	11892	38641
353	11925	38605
354	11957	38567
355	11990	38530
356	12023	38494
357	12055	38456
358	12087	38416
359	12119	38378
360	12152	38341
361	12187	38312
362	12221	38280
363	12254	38244
364	12286	38206
365	12320	38171
366	12353	38136
367	12385	38099
368	12418	38063
369	12450	38024
370	12484	37992
371	12519	37961
372	12552	37928
373	12585	37891
374	12617	37852
375	12655	37831
376	12693	37811
377	12727	37779
378	12759	37739
379	12792	37703
380	12827	37675
381	12860	37638
382	12893	37602
383	12926	37566
384	12959	37530
385	12991	37492
386	13023	37456
387	13055	37417
388	13086	37376
389	13119	37339
390	13152	37304
391	13185	37267
392	13218	37233
393	13256	37211
394	13289	37176
395	13322	37140
396	13360	37119
397	13392	37082
398	13426	37049
399	13458	37010
400	13490	36972
401	13525	36943
402	13558	36906
403	13590	36870
404	13623	36832
405	13656	36799
406	13688	36761
407	13721	36725
408	13754	36689
409	13787	36653
410	13819	36615
411	13851	36578
412	13884	36542
413	13918	36511
414	13954	36483
415	13989	36452
416	14024	36422
417	14061	36399
418	14093	36361
419	14132	36341
420	14165	36305
421	14198	36270
422	14230	36232
423	14262	36194
424	14294	36157
425	14327	36121
426	14359	36083
427	14392	36047
428	14429	36023
429	14463	35990
430	14496	35955
431	14535	35935
432	14576	35919
433	14608	35882
434	14642	35847
435	14674	35811
436	14706	35774
437	14739	35738
438	14772	35703
439	14804	35665
440	14835	35626
441	14867	35587
442	14900	35551
443	14934	35519
444	14967	35484
445	15000	35448
446	15035	35419
447	15071	35389
448	15103	35354
449	15142	35333
450	15175	35298
451	15207	35260
452	15240	35224
453	15275	35194
454	15310	35163
455	15342	35125
456	15375	35091
457	15413	35067
458	15447	35034
459	15479	34997
460	15514	34966
461	15549	34936
462	15582	34899
463	15613	34861
464	15646	34825
465	15678	34788
466	15712	34754
467	15744	34718
468	15776	34681
469	15808	34644
470	15841	34610
471	15874	34574
472	15907	34538
473	15941	34505
474	15980	34483
475	16016	34456
476	16050	34423
477	16089	34400
478	16122	34364
479	16154	34327
480	16187	34292
481	16219	34257
482	16253	34223
483	16286	34187
484	16325	34165
485	16357	34128
486	16391	34094
487	16423	34059
488	16456	34023
489	16489	33989
490	16524	33957
491	16557	33922
492	16591	33889
493	16623	33852
494	16655	33816
495	16698	33800
496	16732	33767
497	16765	33733
498	16798	33697
499	16831	33662
500	16864	33628
501	16897	33593
502	16936	33569
503	16968	33533
504	17000	33496
505	17033	33460
506	17065	33424
507	17097	33387
508	17130	33352
509	17163	33317
510	17196	33282
511	17240	33268
512	17274	33235
513	17307	33200
514	17340	33166
515	17374	33131
516	17405	33094
517	17438	33059
518	17471	33023
519	17504	32989
520	17537	32954
521	17570	32919
522	17608	32894
523	17640	32857
524	17673	32821
525	17706	32788
526	17739	32751
527	17772	32718
528	17804	32681
529	17837	32645
530	17869	32610
531	17902	32574
532	17934	32537
533	17968	32504
534	18001	32469
535	18034	32435
536	18066	32398
537	18098	32361
538	18130	32326
539	18163	32290
540	18195	32254
541	18228	32219
542	18260	32183
543	18297	32155
544	18333	32125
545	18373	32102
546	18405	32067
547	18439	32032
548	18478	32009
549	18514	31979
550	18547	31944
551	18581	31911
552	18613	31875
553	18645	31838
554	18677	31802
555	18710	31767
556	18744	31734
557	18778	31700
558	18810	31664
559	18844	31631
560	18877	31597
561	18917	31573
562	18950	31539
563	18982	31502
564	19016	31469
565	19049	31434
566	19082	31401
567	19115	31365
568	19148	31330
569	19182	31298
570	19214	31260
571	19247	31226
572	19285	31199
573	19319	31166
574	19359	31143
575	19394	31112
576	19433	31087
577	19466	31051
578	19500	31018
579	19532	30982
580	19565	30947
581	19598	30913
582	19631	30878
583	19659	30835
584	19685	30790
585	19719	30757
586	19752	30722
587	19785	30687
588	19818	30653
589	19852	30619
590	19885	30584
591	19918	30550
592	19951	30516
593	19987	30486
594	20021	30453
595	20054	30418
596	20088	30384
597	20120	30349
598	20153	30314
599	20185	30278
600	20218	30243
601	20253	30212
602	20286	30177
603	20319	30142
604	20367	30130
605	20414	30116
606	20447	30082
607	20480	30046
608	20520	30022
609	20560	29998
610	20592	29962
611	20625	29927
612	20658	29892
613	20691	29857
614	20726	29825
615	20761	29794
616	20795	29760
617	20829	29726
618	20861	29691
619	20893	29655
620	20926	29620
621	20959	29585
622	20992	29551
623	21027	29520
624	21060	29484
625	21093	29450
626	21126	29414
627	21159	29380
628	21197	29353
629	21230	29318
630	21262	29282
631	21296	29249
632	21329	29213
633	21361	29178
634	21395	29144
635	21439	29125
636	21471	29088
637	21507	29058
638	21539	29022
639	21572	28988
640	21604	28952
641	21641	28922
642	21673	28887
643	21706	28851
644	21739	28817
645	21772	28782
646	21803	28745
647	21836	28711
648	21869	28676
649	21907	28648
650	21941	28614
651	21976	28582
652	22009	28548
653	22042	28513
654	22074	28478
655	22107	28443
656	22147	28417
657	22179	28381
658	22212	28346
659	22245	28312
660	22279	28278
661	22311	28243
662	22345	28210
663	22379	28176
664	22413	28142
665	22446	28108
666	22479	28074
667	22514	28042
668	22547	28006
669	22579	27972
670	22611	27936
671	22644	27900
672	22676	27865
673	22709	27830
674	22743	27797
675	22777	27763
676	22809	27728
677	22848	27700
678	22880	27665
679	22912	27630
680	22945	27595
681	22979	27561
682	23011	27526
683	23044	27491
684	23078	27458
685	23110	27422
686	23146	27391
687	23179	27356
688	23211	27321
689	23244	27286
690	23277	27252
691	23309	27217
692	23350	27191
693	23383	27157
694	23416	27122
695	23449	27088
696	23482	27054
697	23515	27019
698	23548	26984
699	23581	26950
700	23614	26915
701	23647	26880
702	23680	26846
