ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,y
TRAIN_000,22,0,0,0,9,4,11,1,0,1,2,0,0,25,1,3,6,2,0,2,0,28,1,1,5,1,5,0
TRAIN_001,1,0,0,0,12,4,4,0,3,1,3,1,7,9,0,7,6,2,1,1,0,48,2,0,4,2,1,0
TRAIN_002,27,0,0,0,10,0,1,0,0,0,10,1,5,6,0,7,6,1,0,1,0,57,3,1,3,3,3,0
TRAIN_003,1,0,0,0,9,9,11,1,3,1,2,1,7,9,1,7,6,2,1,1,0,25,2,2,2,1,1,1
TRAIN_004,16,0,0,0,12,4,1,0,3,1,2,1,5,6,1,7,6,2,1,1,0,24,1,1,4,3,3,0
TRAIN_005,81,0,0,0,12,4,4,1,3,1,1,1,7,6,1,7,6,1,0,1,0,18,1,0,3,3,1,0
TRAIN_006,20,0,0,0,9,9,4,0,3,1,2,1,5,25,2,7,6,1,0,1,0,24,5,1,2,4,3,0
TRAIN_007,28,2,0,0,10,9,4,1,1,0,2,0,7,9,1,6,6,1,0,2,0,54,2,0,5,2,3,0
TRAIN_008,27,0,0,0,9,0,4,0,3,1,2,1,7,9,1,7,6,1,1,2,0,40,4,0,2,2,4,1
TRAIN_009,1,0,1,0,5,3,4,1,0,1,5,1,7,6,1,6,6,2,1,1,1,32,1,0,1,4,1,0
TRAIN_010,40,0,1,0,5,3,4,1,3,1,2,1,5,21,1,3,6,1,0,1,1,40,2,0,4,4,3,0
TRAIN_011,27,0,0,0,9,4,11,0,3,0,2,1,7,25,1,3,6,1,0,1,0,41,2,0,2,1,2,0
TRAIN_012,18,0,1,0,5,3,11,2,3,0,2,1,5,6,1,7,6,1,0,1,1,1,2,2,2,4,6,1
TRAIN_013,5,0,0,0,9,4,4,0,3,1,3,1,7,6,0,7,6,1,0,1,0,16,3,0,1,3,1,0
