iter	Logloss
0	0.6905354147
5	0.678665994
10	0.6686578627
15	0.6575434927
20	0.6486918865
25	0.6377349759
30	0.6259619794
35	0.6200119003
40	0.6125432338
45	0.6074480868
50	0.5975808832
55	0.5891988894
60	0.5833188341
65	0.5757984982
70	0.5695468891
75	0.5638618823
80	0.5625357662
85	0.5601106402
90	0.5578957743
95	0.5537710298
100	0.5521456466
105	0.5493052175
110	0.5466869287
115	0.5449616013
120	0.5420763544
125	0.5396883146
130	0.5376091593
135	0.5372626229
140	0.5353157837
145	0.5307856677
150	0.5285197611
155	0.5249767048
160	0.5222854379
165	0.5188332115
170	0.5175779993
175	0.5162442774
180	0.5128995068
185	0.5092778466
190	0.5050007342
195	0.5029020928
200	0.5010634952
205	0.4959143846
210	0.4941489223
215	0.4912098061
220	0.4886681098
225	0.4867061532
230	0.4826711386
235	0.4770305724
240	0.4752479813
245	0.473306925
250	0.4687989978
255	0.4642813591
260	0.4625444343
265	0.455297751
270	0.4532522247
275	0.4494925596
280	0.4460219473
285	0.4440795081
290	0.4397344776
295	0.4377885813
300	0.4352793826
305	0.431818859
310	0.430211296
315	0.4282742627
320	0.4263097918
325	0.4237168663
330	0.4207608098
335	0.4177908617
340	0.4166794059
345	0.4144223623
350	0.4128257681
355	0.4093872447
360	0.4075128809
365	0.4069926677
370	0.4031851363
375	0.3997340413
380	0.398598668
385	0.3969667476
390	0.3948775664
395	0.3917868051
400	0.3888503604
405	0.3860951982
410	0.3842284402
415	0.3818287088
420	0.3790563864
425	0.3778189002
430	0.3755449478
435	0.374752465
440	0.3697861771
445	0.3674630696
450	0.3646611411
455	0.3615095019
460	0.3579798344
465	0.3556104634
470	0.3538018805
475	0.3517467998
480	0.3507839718
485	0.3489871433
490	0.348610215
495	0.3471452141
500	0.3451555372
505	0.3440424156
510	0.3427357855
515	0.3425682689
520	0.3415948807
525	0.3410057751
530	0.3394378756
535	0.3357163654
540	0.3342659162
545	0.3329881379
550	0.3311534061
555	0.3295654863
560	0.3276597248
565	0.3257271544
570	0.3224147871
575	0.3204805195
580	0.316985424
585	0.316118423
590	0.3145160459
595	0.3128267047
600	0.3110606138
605	0.3092916942
610	0.3082975629
615	0.3075249119
620	0.3049396236
625	0.3021017717
630	0.2993854558
635	0.2969251921
640	0.2955442639
645	0.2935932446
650	0.2922134478
655	0.2913931504
660	0.291013645
665	0.2893155036
670	0.2868059592
675	0.2833742874
680	0.2798105195
685	0.2774603831
690	0.2749229298
695	0.2736781834
700	0.2713150983
705	0.2696740949
710	0.2670027539
715	0.2648895924
720	0.2626187986
725	0.2608120699
730	0.2592737923
735	0.2565815196
740	0.255839669
745	0.2538257289
750	0.2517054643
755	0.2501671081
760	0.2488334491
765	0.2475700339
770	0.2454884742
775	0.2440165904
780	0.242266104
785	0.2410573753
790	0.2405258792
795	0.2389265821
800	0.2364360523
805	0.2349683485
810	0.2320395095
815	0.2305447139
820	0.2277634657
825	0.2263924061
830	0.2241142108
835	0.2222354469
840	0.2203613973
845	0.2197650316
850	0.2183874034
855	0.2152849506
860	0.2134647389
865	0.2111528202
870	0.2085500102
875	0.2073903423
880	0.2057857965
885	0.2040123669
890	0.2028222128
895	0.2016326087
900	0.2007809923
905	0.1996550791
910	0.1983157628
915	0.1971135557
920	0.1960702222
925	0.1944516749
930	0.1936900711
935	0.1914753938
940	0.1901136373
945	0.1890504878
950	0.1879086401
955	0.1867961628
960	0.184933412
965	0.1835778469
970	0.1830590324
975	0.1818859756
980	0.1810645939
985	0.1801943558
990	0.1791054346
995	0.1784609511
1000	0.1765160919
1005	0.1755869244
1010	0.1749885158
1015	0.1743894159
1020	0.1733871601
1025	0.1721127605
1030	0.1707327437
1035	0.1685637956
1040	0.1671663514
1045	0.165326528
1050	0.1642382825
1055	0.163528411
1060	0.1627231366
1065	0.16235823
1070	0.1611049507
1075	0.1607324539
1080	0.160146727
1085	0.159346277
1090	0.1579442442
1095	0.1564896777
1100	0.1558644916
1105	0.1550142738
1110	0.1539049237
1115	0.1534065223
1120	0.1527080752
1125	0.1515342327
1130	0.1503825477
1135	0.1492850935
1140	0.1482555888
1145	0.1470661576
1150	0.146385625
1155	0.1447038896
1160	0.1438815179
1165	0.1432637176
1170	0.1422413945
1175	0.1412694206
1180	0.1406448631
1185	0.1397344273
1190	0.1389800051
1195	0.1376884138
1200	0.1365609606
1205	0.1360134042
1210	0.1355106185
1215	0.1351537891
1220	0.1345236058
1225	0.1341591392
1230	0.1335993569
1235	0.1333120643
1240	0.1327771738
1245	0.1319011999
1250	0.1313253181
1255	0.1304400804
1260	0.1300498027
1265	0.1293020356
1270	0.1285762846
1275	0.1276060157
1280	0.1271399548
1285	0.1263505207
1290	0.1255930342
1295	0.1247271961
1300	0.1243017965
1305	0.1237445207
1310	0.1232093002
1315	0.122943615
1320	0.1225617995
1325	0.1221124431
1330	0.1216516465
1335	0.1212471865
1340	0.1207408178
1345	0.1200611181
1350	0.1195683425
1355	0.1191043166
1360	0.1181796827
1365	0.1176690869
1370	0.1171954358
1375	0.1168408222
1380	0.1159390058
1385	0.1151726248
1390	0.1142371872
1395	0.1135776414
1400	0.1130494138
1405	0.1125356279
1410	0.1119947817
1415	0.1110254635
1420	0.1104930559
1425	0.1099527204
1430	0.1090162692
1435	0.1080536926
1440	0.1072472161
1445	0.1062459818
1450	0.1056853588
1455	0.1046764401
1460	0.1039106171
1465	0.1032116985
1470	0.1029058784
1475	0.1026703022
1480	0.1019341796
1485	0.1014403511
1490	0.1009330082
1495	0.1004864882
1500	0.09982380734
1505	0.09948562323
1510	0.09904438337
1515	0.09865838786
1520	0.09838948903
1525	0.09786957447
1530	0.09723794546
1535	0.09671875377
1540	0.0963217974
1545	0.09576364943
1550	0.09530508432
1555	0.09485079356
1560	0.09423885483
1565	0.09403687623
1570	0.09385519293
1575	0.0929278797
1580	0.09255495867
1585	0.09182657542
1590	0.09153123693
1595	0.09095303725
1600	0.09058938778
1605	0.08990309585
1610	0.08944783078
1615	0.08868483633
1620	0.08821385675
1625	0.08786550536
1630	0.08748753211
1635	0.08721879042
1640	0.08696147318
1645	0.08649347936
1650	0.08617118262
1655	0.08580448453
1660	0.08523312853
1665	0.08439563158
1670	0.08410955679
1675	0.08375059024
1680	0.08352351557
