iter	Passed	Remaining
0	150	75069
1	151	37644
2	152	25212
3	153	18974
4	154	15264
5	155	12784
6	156	11007
7	157	9678
8	158	8654
9	159	7817
10	160	7122
11	161	6550
12	161	6062
13	162	5649
14	163	5287
15	164	4972
16	165	4702
17	166	4455
18	167	4234
19	168	4032
20	168	3848
21	169	3683
22	170	3532
23	170	3390
24	171	3261
25	172	3142
26	173	3036
27	174	2937
28	175	2843
29	175	2755
30	176	2673
31	177	2594
32	178	2521
33	179	2454
34	179	2390
35	180	2329
36	181	2270
37	182	2215
38	183	2164
39	183	2115
40	184	2068
41	185	2024
42	186	1980
43	187	1939
44	188	1902
45	189	1868
46	190	1832
47	191	1804
48	192	1772
49	193	1740
50	194	1710
51	195	1680
52	195	1650
53	196	1624
54	197	1598
55	198	1572
56	199	1547
57	200	1524
58	200	1500
59	201	1477
60	202	1456
61	203	1434
62	203	1413
63	204	1396
64	205	1376
65	206	1358
66	207	1340
67	208	1322
68	208	1304
69	209	1286
70	210	1270
71	211	1255
72	212	1240
73	212	1224
74	213	1210
75	214	1195
76	215	1181
77	215	1168
78	216	1154
79	217	1141
80	218	1129
81	219	1117
82	220	1105
83	221	1094
84	221	1083
85	222	1072
86	223	1062
87	224	1051
88	225	1041
89	226	1031
90	227	1021
91	228	1012
92	229	1002
93	229	993
94	230	983
95	231	974
96	232	966
97	233	957
98	234	948
99	235	940
100	236	932
101	237	924
102	237	917
103	238	908
104	239	900
105	240	892
106	240	885
107	241	878
108	242	870
109	243	863
110	244	856
111	245	849
112	246	842
113	246	835
114	247	829
115	248	822
116	249	816
117	250	809
118	250	803
119	251	797
120	252	792
121	253	785
122	254	779
123	255	773
124	256	768
125	256	762
126	257	757
127	258	751
128	259	746
129	260	742
130	261	736
131	262	731
132	263	726
133	263	720
134	264	715
135	265	710
136	265	704
137	266	699
138	267	695
139	268	690
140	269	685
141	270	681
142	270	676
143	271	671
144	272	667
145	273	662
146	273	657
147	274	653
148	275	648
149	276	644
150	276	639
151	277	635
152	278	631
153	279	627
154	280	623
155	280	619
156	281	615
157	282	611
158	283	608
159	284	605
160	285	601
161	286	597
162	287	593
163	287	589
164	288	586
165	289	582
166	290	579
167	291	575
168	292	572
169	292	568
170	293	565
171	294	561
172	295	558
173	296	554
174	296	551
175	297	548
176	298	545
177	299	542
178	300	539
179	301	536
180	302	533
181	303	530
182	304	527
183	305	523
184	305	520
185	306	517
186	307	514
187	308	511
188	309	509
189	310	505
190	310	503
191	311	500
192	312	497
193	313	494
194	315	493
195	316	490
196	317	487
197	317	484
198	318	481
199	319	478
200	319	475
201	320	472
202	321	470
203	322	467
204	322	464
205	323	461
206	324	458
207	324	456
208	325	453
209	326	450
210	327	448
211	327	445
212	328	442
213	329	440
214	331	439
215	332	436
216	333	434
217	334	432
218	335	430
219	336	428
220	337	425
221	338	423
222	338	421
223	339	418
224	340	416
225	341	413
226	342	411
227	343	409
228	343	406
229	344	404
230	345	402
231	346	399
232	347	397
233	348	395
234	348	393
235	349	391
236	350	388
237	351	386
238	352	384
239	352	382
240	353	380
241	354	377
242	355	375
243	355	373
244	356	371
245	357	368
246	358	366
247	358	364
248	359	362
249	360	360
250	361	358
251	362	356
252	363	354
253	364	352
254	364	350
255	365	348
256	366	346
257	366	344
258	367	342
259	368	340
260	369	338
261	370	336
262	370	334
263	371	332
264	372	330
265	373	328
266	373	326
267	374	324
268	375	322
269	376	320
270	377	318
271	378	317
272	379	315
273	380	313
274	381	311
275	382	310
276	382	308
277	383	306
278	384	304
279	384	302
280	385	300
281	386	298
282	387	296
283	387	294
284	388	293
285	389	291
286	390	289
287	391	287
288	391	286
289	392	284
290	393	282
291	394	281
292	395	279
293	396	277
294	396	275
295	397	274
296	398	272
297	399	270
298	400	269
299	401	267
300	402	265
301	402	264
302	403	262
303	404	260
304	405	259
305	406	257
306	406	255
307	407	253
308	408	252
309	408	250
310	409	248
311	411	247
312	411	246
313	412	244
314	413	242
315	413	240
316	414	239
317	414	237
318	415	235
319	416	234
320	416	232
321	417	230
322	417	229
323	418	227
324	419	225
325	419	224
326	420	222
327	421	220
328	421	219
329	422	217
330	422	215
331	423	214
332	424	212
333	424	211
334	425	209
335	426	208
336	426	206
337	427	204
338	428	203
339	428	201
340	429	200
341	430	198
342	430	197
343	431	195
344	432	194
345	432	192
346	433	191
347	433	189
348	434	188
349	435	186
350	436	185
351	436	183
352	437	182
353	438	180
354	438	179
355	439	177
356	439	176
357	440	174
358	441	173
359	441	171
360	442	170
361	443	169
362	444	167
363	445	166
364	445	164
365	446	163
366	447	162
367	447	160
368	448	159
369	449	157
370	449	156
371	450	155
372	451	153
