iter	Logloss
0	0.6843035724
1	0.6787031626
2	0.6663951771
3	0.6555247962
4	0.6432444482
5	0.643244447
6	0.6358900992
7	0.6341162093
8	0.6245567027
9	0.6228191822
10	0.6158161376
11	0.6097459214
12	0.6023867507
13	0.6023849517
14	0.5998149616
15	0.5989096483
16	0.5945918605
17	0.5858376808
18	0.5850969896
19	0.5730518059
20	0.5672017167
21	0.5661667934
22	0.5620255339
23	0.5584972217
24	0.5529275709
25	0.5431246018
26	0.5381987446
27	0.5349307772
28	0.5230520524
29	0.5199312517
30	0.5176048159
31	0.5071539672
32	0.503700804
33	0.5005690068
34	0.5005126889
35	0.4992369163
36	0.4946368793
37	0.479856019
38	0.4798556958
39	0.4792104299
40	0.4771163176
41	0.4753454692
42	0.4684746883
43	0.4638723929
44	0.4609226368
45	0.4576084367
46	0.4489424667
47	0.4444286866
48	0.4396366295
49	0.4373761815
50	0.4312751793
51	0.426208314
