iter	Passed	Remaining
0	8	8492
1	24	12198
2	41	13936
3	61	15230
4	79	15743
5	82	13624
6	99	14107
7	115	14380
8	133	14677
9	149	14839
10	165	14892
11	180	14838
12	198	15041
13	201	14206
14	232	15298
15	257	15839
16	289	16763
17	309	16859
18	318	16429
19	337	16550
20	362	16885
21	375	16674
22	394	16747
23	411	16715
24	430	16781
25	448	16815
26	467	16863
27	485	16865
28	504	16881
29	515	16674
30	534	16694
31	578	17500
32	597	17502
33	615	17478
34	629	17342
35	649	17400
36	668	17388
37	714	18078
38	720	17747
39	727	17465
40	749	17519
41	768	17521
42	786	17503
43	804	17482
44	821	17429
45	839	17415
46	859	17435
47	877	17412
48	896	17401
49	914	17366
50	931	17331
51	947	17272
